date,distance,time,end
2014-03-15,4.8,0:29:00,yes
2014-03-19,4.8,0:28:00,no
2014-03-19,6.4,0:36:15,yes
2014-04-02,4.8,0:27:00,no
2014-04-02,6.4,0:35:30,yes
2014-04-05,4.8,0:25:00,no
2014-04-05,6.4,0:33:30,yes
2014-04-12,4.8,0:24:20,yes
2014-04-20,6.4,0:33:00,no
2014-04-20,8.0,0:42:00,no
2014-04-20,9.6,0:51:15,yes
2014-04-26,4.8,0:24:10,no
2014-04-26,6.4,0:32:40,no
2014-04-26,8.0,0:41:30,no
2014-04-26,9.6,0:49:00,no
2014-04-26,10.0,0:51:00,yes
2014-05-03,4.8,0:23:30,no
2014-05-03,6.4,0:31:40,yes
2014-05-10,4.8,0:23:00,yes
2014-05-14,4.8,0:27:45,yes
2014-05-17,4.8,0:24:00,no
2014-05-17,6.4,0:32:30,no
2014-05-17,8.0,0:41:30,no
2014-05-17,9.6,0:49:15,no
2014-05-17,11.2,0:57:45,no
2014-05-17,12.8,1:16:45,yes
2014-05-24,4.8,0:23:45,no
2014-05-24,9.6,0:48:30,no
2014-05-24,14.4,1:13:00,yes
2014-06-04,4.8,0:23:20,no
2014-06-04,6.4,0:31:00,yes
2014-06-07,4.8,0:23:50,no
2014-06-07,6.4,0:32:00,yes
2014-06-14,4.8,0:23:40,yes
2014-06-21,4.8,0:24:30,no
2014-06-21,9.6,0:51:30,no
2014-06-21,10.0,0:53:15,yes
